AssetID,Hostname,IP,OS,LastScannedAt,IsStale,LastSeenAt
174420,Onbekend,10.101.125.4,,NULL,1,2026-03-15 20:53:45.5400000
174421,Onbekend,10.101.125.5,,NULL,1,2026-03-15 20:53:45.4400000
174423,FLSWP001-101128,10.101.128.91,,NULL,1,2026-03-21 18:32:56.4433333
174424,DCRWP001-101128,10.101.128.51,,NULL,1,2026-03-21 18:32:56.4833333
174425,SQLWP002-101128,10.101.128.61,,NULL,1,2026-03-21 18:46:33.0966667
174426,DCRWP002-101128,10.101.128.52,,NULL,1,2026-03-21 18:32:56.4633333
174427,UTLWP001-101128,10.101.128.50,,NULL,1,2026-03-21 18:32:56.5366667
174877,XASWP019-101004,10.101.4.33,,NULL,1,2026-03-12 15:51:49.7466667
174906,DSPWP006-101028,10.101.28.23,,NULL,1,2026-03-03 16:11:15.3866667
174941,DSPWP001-101046,10.101.46.5,,NULL,1,2026-03-03 16:11:16.7600000
174983,XASWP005-101032,10.101.32.14,,NULL,1,2026-03-11 18:16:14.7900000
175006,DSPWP001-101066,10.101.66.10,,NULL,1,2026-03-03 16:11:16.1000000
175052,UTLWP001-101114,10.101.114.50,,NULL,1,2026-03-21 18:32:56.5266667
175053,UTLWP001-101116,10.101.116.50,,NULL,1,2026-03-21 18:32:56.5066667
175060,UTLWP001-101120,10.101.120.50,,NULL,1,2026-03-21 18:32:56.5166667
175062,UTLWP001-101118,10.101.118.50,,NULL,1,2026-03-21 18:32:56.5766667
175493,Onbekend,192.168.253.148,,NULL,1,2026-03-11 22:47:46.8000000
175507,Onbekend,10.16.141.14,,NULL,1,2026-03-22 08:10:27.6133333
175508,Onbekend,10.16.140.10,,NULL,0,2026-04-09 12:58:57.0966667
175509,Onbekend,10.16.140.14,,NULL,0,2026-04-09 12:58:57.2400000
175510,Onbekend,10.16.140.64,,NULL,1,2026-03-22 08:10:27.8633333
175511,Onbekend,10.16.140.12,,NULL,0,2026-04-09 12:58:57.3800000
175512,Onbekend,10.16.140.66,,NULL,1,2026-03-22 08:10:27.8100000
175513,Onbekend,10.16.140.67,,NULL,1,2026-03-22 08:10:27.7600000
175514,Onbekend,10.16.141.13,,NULL,1,2026-03-22 08:10:27.9166667
175515,r22-vm-kwk-lp01-ppd-xm9vm-29s6l,10.16.140.64,,NULL,1,2026-03-30 18:46:28.9033333
175517,r22-vm-kwk-lp01-ppd-xm9vm-qjdf8,10.16.140.65,,NULL,1,2026-03-22 08:57:10.7933333
175519,Onbekend,10.16.140.16,,NULL,0,2026-04-09 12:58:57.4500000
175520,Onbekend,10.16.140.17,,NULL,0,2026-04-09 12:58:57.5233333
175521,Onbekend,10.16.140.21,,NULL,0,2026-04-09 12:58:57.6900000
175522,Onbekend,10.16.140.15,,NULL,0,2026-04-09 12:58:57.6200000
175524,Onbekend,10.16.140.13,,NULL,0,2026-04-09 12:58:57.7866667
175558,GLR-PRD-SCHAU02,10.16.112.180,,NULL,1,2026-03-11 12:38:05.1966667
175601,GLR-PRD-3DSERV,10.16.112.209,,NULL,1,2026-03-11 12:38:06.2933333
175602,GLR-MON01,10.16.112.133,,NULL,1,2026-03-15 20:53:45.6400000
175603,GLR-PRD-SHS02,10.16.112.198,,NULL,1,2026-03-11 12:38:05.9433333
175604,GLR-TST-PACS02,10.16.112.166,,NULL,1,2026-03-11 12:38:06.0233333
175605,GLR-PRD-EWL01,10.16.112.205,,NULL,1,2026-03-11 12:38:06.1300000
175606,GLR-PRD-SHS01,10.16.112.197,,NULL,1,2026-03-11 12:38:06.2133333
175607,GLR-DC02.gelre.local,10.16.112.132,,NULL,1,2026-03-11 14:15:40.4133333
175621,ecprmlctx12,10.240.7.12,,NULL,1,2026-03-03 16:20:25.2566667
175632,ecprmlctx02,10.240.7.2,,NULL,1,2026-03-03 16:20:25.3033333
175669,Onbekend,10.238.41.66,,NULL,1,2026-03-16 01:34:44.9866667
175671,SCEP1141,10.17.107.106,,NULL,1,2026-03-16 01:35:10.7466667
175672,ISSU1142,10.17.107.103,,NULL,1,2026-03-16 01:35:10.7333333
175673,CRL1141,10.17.107.107,,NULL,1,2026-03-16 01:35:10.8033333
175674,MEDIATE1141,10.17.107.101,,NULL,1,2026-03-16 01:35:10.7900000
175718,TERG-PRD-LAS01,192.168.126.110,,NULL,1,2026-03-16 01:34:45.0733333
175747,ecprg17ctx36,10.240.32.151,,NULL,1,2026-03-03 16:20:25.2700000
175758,ecprg17ctx22,10.240.32.33,,NULL,1,2026-03-03 16:20:25.2866667
175787,ecprmlctx18,10.240.7.18,,NULL,1,2026-03-03 16:20:25.3400000
175792,ecprmlctx20,10.240.7.20,,NULL,1,2026-03-03 16:20:25.3233333
175815,Onbekend,10.242.55.41,,NULL,1,2026-03-11 12:38:06.4533333
175851,ecprmlctx06,10.240.7.6,,NULL,1,2026-03-03 16:20:25.4233333
175856,ecprg17ctx11,10.240.32.18,,NULL,1,2026-03-03 16:20:25.3733333
175860,ecprmlctx02,10.240.7.2,,NULL,1,2026-03-03 16:20:25.4433333
175913,s12-vm-r7-lp01,10.254.40.30,,NULL,1,2026-03-15 22:46:35.8900000
175923,Onbekend,10.16.141.12,,NULL,1,2026-03-22 08:10:28.1233333
175925,amstl-lb02,10.16.117.17,,NULL,1,2026-03-15 22:46:35.4666667
175930,amstl-lb01,10.16.117.18,,NULL,1,2026-03-15 22:46:36.3466667
175936,Onbekend,10.254.40.135,,NULL,1,2026-03-15 20:53:46.2833333
175937,Onbekend,10.254.40.63,,NULL,1,2026-03-15 20:53:46.3333333
175938,Onbekend,10.254.40.66,,NULL,1,2026-03-15 20:53:46.5333333
175939,Onbekend,10.254.40.60,,NULL,1,2026-03-15 20:53:46.4833333
175942,Onbekend,10.254.40.62,,NULL,1,2026-03-15 20:53:46.4366667
175943,S12-VM-CDI-WP02,10.254.40.72,,NULL,1,2026-03-15 20:53:46.3833333
175944,Onbekend,10.254.40.65,,NULL,1,2026-03-15 20:53:47.1400000
175945,S12-VM-FLN-WP03,10.254.40.31,,NULL,1,2026-03-15 20:53:47.2400000
175946,S12-VM-DHC-WP02,10.254.40.7,,NULL,1,2026-03-15 20:53:46.5833333
175947,S12-VM-SQN-WP04,10.254.40.136,,NULL,1,2026-03-15 20:53:46.6700000
175949,Onbekend,10.254.40.64,,NULL,1,2026-03-15 20:53:46.7200000
175950,Onbekend,10.254.40.61,,NULL,1,2026-03-15 20:53:47.3900000
175951,S12-VM-CDI-WP01,10.254.40.71,,NULL,1,2026-03-15 20:53:47.2900000
175952,Onbekend,10.16.137.22,,NULL,1,2026-03-15 20:53:47.1900000
175953,Onbekend,10.16.137.12,,NULL,1,2026-03-15 20:53:47.3400000
175954,S12-VM-DHC-WP01,10.254.40.6,,NULL,1,2026-03-15 20:53:47.8633333
175956,R23-VM-SQN-WP01,10.16.137.14,,NULL,1,2026-03-15 20:53:47.8133333
175957,R23-VM-PAM-WP01,10.16.137.21,,NULL,1,2026-03-15 20:53:47.9133333
175958,Onbekend,10.16.125.3,,NULL,1,2026-03-30 14:52:30.9366667
175959,S12-VM-FLN-WP02,10.254.40.20,,NULL,1,2026-03-15 20:53:47.9733333
175960,S12-VM-FLN-WP01,10.254.40.19,,NULL,1,2026-03-15 20:53:48.0233333
175962,DBOTSVSQL60,10.40.41.85,,NULL,1,2026-03-16 01:34:45.1400000
176222,z98-vm-mig-wp01,10.16.116.21,,NULL,0,2026-04-09 12:37:20.8933333
176338,XASWP003-101012,10.101.12.21,,NULL,1,2026-03-12 16:07:08.2900000
176340,XASWP014-101022,10.101.22.19,,NULL,1,2026-03-11 18:16:14.8400000
176343,DSPWP006-101038,10.101.38.25,,NULL,1,2026-03-12 16:07:08.2433333
176344,XASWP002-101050,10.101.50.5,,NULL,1,2026-03-12 16:07:08.2600000
176346,XASWP018-101068,10.101.68.32,,NULL,1,2026-03-12 16:07:08.2766667
176347,XASWP015-101068,10.101.68.21,,NULL,1,2026-03-12 16:07:08.3233333
176348,XASWP012-101068,10.101.68.23,,NULL,1,2026-03-11 12:49:45.5300000
176349,XASWP011-101068,10.101.68.22,,NULL,1,2026-03-12 16:07:08.4000000
176350,XASWP016-101068,10.101.68.31,,NULL,1,2026-03-30 14:23:01.0666667
176351,DSPWP007-101068,10.101.68.24,,NULL,1,2026-03-12 16:07:08.3566667
176362,DSPWP001-101124,10.101.124.13,,NULL,1,2026-03-12 16:07:08.4500000
176363,XASWD001-101128,10.101.128.200,,NULL,1,2026-03-03 16:20:25.5633333
176802,XASWP007-101012,10.101.12.11,,NULL,1,2026-03-11 18:16:15.3900000
176803,XASWP017-101004,10.101.4.32,,NULL,1,2026-03-12 16:07:08.3700000
176804,CATWP002-101012,10.101.12.35,,NULL,1,2026-03-12 16:07:08.4166667
176805,XASWP015-101004,10.101.4.30,,NULL,1,2026-03-12 16:07:08.4333333
176806,XASWP005-101012,10.101.12.10,,NULL,1,2026-03-12 16:07:08.3866667
176807,XASWP022-101004,10.101.4.55,,NULL,1,2026-03-12 16:07:08.4633333
176808,XASWP019-101004,10.101.4.33,,NULL,1,2026-03-12 16:07:08.4766667
176809,DSPWP012-101004,10.101.4.34,,NULL,1,2026-03-12 16:07:08.4900000
176810,XASWP023-101004,10.101.4.53,,NULL,1,2026-03-12 16:07:08.5566667
176811,XASWP025-101004,10.101.4.45,,NULL,1,2026-03-12 16:07:08.5700000
176812,DSPWP011-101004,10.101.4.35,,NULL,1,2026-03-12 16:07:08.6033333
176813,XASWP002-101012,10.101.12.20,,NULL,1,2026-03-12 16:07:08.6166667
176814,XASWP019-101012,10.101.12.39,,NULL,1,2026-03-12 16:07:08.5200000
176815,XASWP009-101006,10.101.6.14,,NULL,1,2026-03-12 16:07:08.6366667
176816,DSPWP001-101004,10.101.4.11,,NULL,1,2026-03-12 16:07:08.5066667
176817,XASWP050-101012,10.101.12.49,,NULL,1,2026-03-12 16:07:08.5866667
176818,DSPWP031-101012,10.101.12.45,,NULL,1,2026-03-12 16:07:08.6966667
176819,DSPWP001-101006,10.101.6.18,,NULL,1,2026-03-12 16:07:08.7100000
176820,XASWP014-101012,10.101.12.34,,NULL,1,2026-03-12 16:07:08.6666667
176821,XASWP026-101004,10.101.4.49,,NULL,1,2026-03-12 16:07:08.6800000
176822,XASWP008-101012,10.101.12.18,,NULL,1,2026-03-12 16:07:08.7300000
176823,XASWP001-101012,10.101.12.19,,NULL,1,2026-03-12 16:07:08.7600000
176824,XASWP017-101012,10.101.12.37,,NULL,1,2026-03-12 16:07:08.7800000
176825,DSPWP016-101004,10.101.4.40,,NULL,1,2026-03-12 16:07:08.7433333
176826,DSPWP011-101012,10.101.12.27,,NULL,1,2026-03-12 16:07:08.8266667
176827,DSPWP012-101012,10.101.12.28,,NULL,1,2026-03-12 16:07:08.8400000
176828,XASWP016-101012,10.101.12.41,,NULL,1,2026-03-12 16:07:08.8700000
176829,XASWP004-101012,10.101.12.17,,NULL,1,2026-03-12 16:07:08.8566667
176830,XASWP009-101008,10.101.8.12,,NULL,1,2026-03-12 16:07:08.7966667
